patient|anim_group|breed|age_in_days|wt_in_kg|amount|amount_units|amount_certain|expo_time|expo_certain|finding_type|finding_numb|when_seen|finding|status|time_to_onset
10008451|"Canine Domestic"|"Chesapeake Bay Retriever"|547|23.1|2.000|"lb"|"Evidence"|"1993-03-31-12.00.13"|"Evidence"|"Condition"|6|"1993-04-07-09.00.39"|"Bloody Vomitus"|"Mild"|"00000006210026.000000"
10008451|"Canine Domestic"|"Chesapeake Bay Retriever"|547|23.1|2.000|"lb"|"Evidence"|"1993-03-31-12.00.13"|"Evidence"|"Condition"|5|"1993-04-07-18.00.26"|"Abdominal Pain"|"Death"|"00000007060013.000000"
10008451|"Canine Domestic"|"Chesapeake Bay Retriever"|547|23.1|2.000|"lb"|"Evidence"|"1993-03-31-12.00.13"|"Evidence"|"Condition"|6|"1993-04-07-18.00.26"|"Bloody Vomitus"|"Death"|"00000007060013.000000"
10008451|"Canine Domestic"|"Chesapeake Bay Retriever"|547|23.1|2.000|"lb"|"Evidence"|"1993-03-31-12.00.13"|"Evidence"|"Condition"|7|"1993-04-07-18.00.26"|"Euthanized"|"Death"|"00000007060013.000000"
10008451|"Canine Domestic"|"Chesapeake Bay Retriever"|547|23.1|2.000|"lb"|"Evidence"|"1993-03-31-12.00.13"|"Evidence"|"Condition"|2|"1993-04-07-18.00.26"|"Lethargy"|"Death"|"00000007060013.000000"
10008451|"Canine Domestic"|"Chesapeake Bay Retriever"|547|23.1|2.000|"lb"|"Evidence"|"1993-03-31-12.00.13"|"Evidence"|"Condition"|1|"1993-04-07-18.00.26"|"Vomiting"|"Death"|"00000007060013.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Condition"|1|"2001-12-14-21.00.41"|"Vomiting"|"Moderate"|"00000000090027.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Condition"|10|"2001-12-14-21.00.46"|"Anorexia"|"Severe"|"00000000090032.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Lab Test"|7|"2001-12-15-19.00.00"|"Phosphorus"|"Mild"|"00000001065946.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Condition"|3|"2001-12-15-19.00.40"|"Depression"|"Moderate"|"00000001070026.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Lab Test"|5|"2001-12-15-19.00.55"|"Urea Nitrogen"|"Mild"|"00000001070041.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Lab Test"|6|"2001-12-15-19.00.58"|"Creatinine"|"Moderate"|"00000001070044.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Condition"|8|"2001-12-15-23.00.07"|"Oliguria"|"Moderate"|"00000001105953.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Condition"|4|"2001-12-15-23.00.21"|"Hypothermia"|"Moderate"|"00000001110007.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Condition"|3|"2001-12-15-23.00.35"|"Depression"|"Severe"|"00000001110021.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Condition"|2|"2001-12-15-23.00.51"|"Bradycardia"|"Moderate"|"00000001110037.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Condition"|2|"2001-12-16-06.00.44"|"Bradycardia"|"Normal"|"00000001180030.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Lab Test"|5|"2001-12-16-10.30.02"|"Urea Nitrogen"|"Moderate"|"00000001222948.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Lab Test"|6|"2001-12-16-10.30.54"|"Creatinine"|"Moderate"|"00000001223040.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Vital Sign"|9|"2001-12-16-14.30.58"|"Blood Pressure"|"High"|"00000002023044.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Vital Sign"|9|"2001-12-16-20.00.39"|"Blood Pressure"|"High"|"00000002080025.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Lab Test"|5|"2001-12-16-20.57.14"|"Urea Nitrogen"|"Normal"|"00000002085700.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Vital Sign"|9|"2001-12-16-21.00.15"|"Blood Pressure"|"High"|"00000002090001.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Condition"|8|"2001-12-17-06.00.34"|"Oliguria"|"Normal"|"00000002180020.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Condition"|1|"2001-12-17-12.00.00"|"Vomiting"|"Mild"|"00000002235946.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Vital Sign"|9|"2001-12-17-16.00.38"|"Blood Pressure"|"Normal"|"00000003040024.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Lab Test"|6|"2001-12-17-20.52.07"|"Creatinine"|"Elevated"|"00000003085153.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Lab Test"|5|"2001-12-17-20.56.36"|"Urea Nitrogen"|"Elevated"|"00000003085622.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Condition"|3|"2001-12-18-06.00.57"|"Depression"|"Moderate"|"00000003180043.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Condition"|1|"2001-12-19-03.00.27"|"Vomiting"|"Normal"|"00000004150013.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Condition"|4|"2001-12-19-16.00.30"|"Hypothermia"|"Normal"|"00000005040016.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Condition"|3|"2001-12-20-06.00.49"|"Depression"|"Mild"|"00000005180035.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Condition"|10|"2001-12-21-12.00.10"|"Anorexia"|"Moderate"|"00000006235956.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Condition"|3|"2001-12-23-06.00.05"|"Depression"|"Normal"|"00000008175951.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Condition"|10|"2001-12-23-12.00.52"|"Anorexia"|"Normal"|"00000009000038.000000"
10006940|"Canine Domestic"|"Maltese Dog"|730|4.3|0.000|"Unk"|"Not Specific"|"2001-12-14-12.00.14"|"Observed"|"Lab Test"|6|"2001-12-26-20.57.43"|"Creatinine"|"Normal"|"00000012085729.000000"
30001432|"Canine Domestic"|"Pomeranian Dog"|1643|2.2|0.000|"Unk"|"Unknown"|"2002-01-01-09.01.10"|"Observed"|"Condition"|1|"2002-01-10-08.00.11"|"Tremors"|"Mild"|"00000008225901.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Condition"|1|"2002-01-16-09.00.40"|"Vomiting"|"Moderate"|"00000000210001.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Condition"|2|"2002-01-17-09.00.52"|"Anorexia"|"Moderate"|"00000001210013.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Condition"|23|"2002-01-18-08.00.55"|"Diarrhea"|"Mild"|"00000002200016.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|3|"2002-01-18-09.00.01"|"Blood Urea Nitrogen"|"High"|"00000002205922.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|15|"2002-01-18-09.00.01"|"Serum Anion Gap"|"High"|"00000002205922.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|11|"2002-01-18-09.00.03"|"Serum Lipase"|"Normal"|"00000002205924.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|17|"2002-01-18-09.00.10"|"Hematocrit"|"Normal"|"00000002205931.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|7|"2002-01-18-09.00.14"|"Calcium X Phosphorus product"|"High"|"00000002205935.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|9|"2002-01-18-09.00.23"|"Serum Alkaline Phosphatase"|"Normal"|"00000002205944.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|14|"2002-01-18-09.00.25"|"Serum Total CO2"|"Normal"|"00000002205946.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|10|"2002-01-18-09.00.31"|"Serum Amylase"|"Normal"|"00000002205952.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|4|"2002-01-18-09.00.36"|"Serum Creatinine"|"High"|"00000002205957.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|8|"2002-01-18-09.00.37"|"Serum Alanine Aminotransferase"|"High"|"00000002205958.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|12|"2002-01-18-09.00.44"|"Serum Total Protein"|"Normal"|"00000002210005.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|13|"2002-01-18-09.00.46"|"Albumin"|"Normal"|"00000002210007.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|5|"2002-01-18-09.00.46"|"Calcium"|"High"|"00000002210007.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|6|"2002-01-18-09.00.52"|"Phosphorus"|"High"|"00000002210013.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|16|"2002-01-18-09.00.54"|"Serum Potassium"|"Normal"|"00000002210015.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|18|"2002-01-19-12.00.31"|"Urine Specific Gravity"|"Low"|"00000003235952.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Condition"|20|"2002-01-20-09.00.27"|"Abdominal Pain"|"Mild"|"00000004205948.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Condition"|24|"2002-01-20-09.00.40"|"Abdominal Pain"|"Mild"|"00000004210001.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Condition"|24|"2002-01-22-09.00.34"|"Abdominal Pain"|"Normal"|"00000006205955.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|19|"2002-01-22-12.00.06"|"Histopathology"|"Abnormal"|"00000006235927.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|4|"2002-01-23-12.00.16"|"Serum Creatinine"|"High"|"00000007235937.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|9|"2002-01-23-12.00.47"|"Serum Alkaline Phosphatase"|"High"|"00000008000008.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|3|"2002-01-23-12.00.48"|"Blood Urea Nitrogen"|"High"|"00000008000009.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|8|"2002-01-23-12.00.58"|"Serum Alanine Aminotransferase"|"Low"|"00000008000019.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Condition"|20|"2002-01-25-12.00.19"|"Abdominal Pain"|"Normal"|"00000009235940.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Condition"|25|"2002-01-25-12.00.52"|"Depression"|"Moderate"|"00000010000013.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Condition"|2|"2002-01-26-09.00.48"|"Anorexia"|"Mild"|"00000010210009.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|7|"2002-01-26-12.00.01"|"Calcium X Phosphorus product"|"Normal"|"00000010235922.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|3|"2002-01-26-12.00.13"|"Blood Urea Nitrogen"|"High"|"00000010235934.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|6|"2002-01-26-12.00.14"|"Phosphorus"|"Normal"|"00000010235935.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|16|"2002-01-26-12.00.18"|"Serum Potassium"|"Low"|"00000010235939.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|12|"2002-01-26-12.00.22"|"Serum Total Protein"|"Low"|"00000010235943.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|5|"2002-01-26-12.00.24"|"Calcium"|"Normal"|"00000010235945.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|4|"2002-01-26-12.00.45"|"Serum Creatinine"|"High"|"00000011000006.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|17|"2002-01-26-12.00.53"|"Hematocrit"|"Low"|"00000011000014.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Condition"|21|"2002-01-26-20.00.12"|"Hypertension"|"Moderate"|"00000011075933.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Vital Sign"|22|"2002-01-26-20.00.40"|"Blood Pressure"|"High"|"00000011080001.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|4|"2002-01-27-12.00.10"|"Serum Creatinine"|"High"|"00000011235931.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|3|"2002-01-27-12.00.40"|"Blood Urea Nitrogen"|"High"|"00000012000001.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Vital Sign"|22|"2002-01-27-12.00.41"|"Blood Pressure"|"High"|"00000012000002.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Condition"|21|"2002-01-27-12.00.42"|"Hypertension"|"Severe"|"00000012000003.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|16|"2002-01-27-12.00.43"|"Serum Potassium"|"Normal"|"00000012000004.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Vital Sign"|22|"2002-01-27-22.00.36"|"Blood Pressure"|"High"|"00000012095957.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Vital Sign"|22|"2002-01-28-10.00.18"|"Blood Pressure"|"High"|"00000012215939.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Condition"|21|"2002-01-28-10.00.57"|"Hypertension"|"Moderate"|"00000012220018.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|4|"2002-01-28-12.00.31"|"Serum Creatinine"|"High"|"00000012235952.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|16|"2002-01-28-12.00.58"|"Serum Potassium"|"High"|"00000013000019.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|3|"2002-01-28-12.00.59"|"Blood Urea Nitrogen"|"High"|"00000013000020.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Condition"|1|"2002-01-28-14.00.13"|"Vomiting"|"Normal"|"00000013015934.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|12|"2002-01-29-12.00.01"|"Serum Total Protein"|"Normal"|"00000013235922.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Condition"|21|"2002-01-29-12.00.11"|"Hypertension"|"Normal"|"00000013235932.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|17|"2002-01-29-12.00.12"|"Hematocrit"|"Normal"|"00000013235933.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|4|"2002-01-29-12.00.14"|"Serum Creatinine"|"High"|"00000013235935.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|16|"2002-01-29-12.00.15"|"Serum Potassium"|"Normal"|"00000013235936.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|3|"2002-01-29-12.00.25"|"Blood Urea Nitrogen"|"High"|"00000013235946.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Vital Sign"|22|"2002-01-29-12.00.48"|"Blood Pressure"|"Normal"|"00000014000009.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Condition"|23|"2002-01-31-12.00.15"|"Diarrhea"|"Normal"|"00000015235936.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|4|"2002-01-31-12.00.26"|"Serum Creatinine"|"High"|"00000015235947.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Condition"|25|"2002-01-31-12.00.35"|"Depression"|"Normal"|"00000015235956.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|16|"2002-01-31-12.00.43"|"Serum Potassium"|"Normal"|"00000016000004.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|3|"2002-01-31-12.00.58"|"Blood Urea Nitrogen"|"High"|"00000016000019.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|3|"2002-02-01-12.00.16"|"Blood Urea Nitrogen"|"High"|"00000016235937.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|16|"2002-02-01-12.00.38"|"Serum Potassium"|"Normal"|"00000016235959.000000"
20031663|"Canine Domestic"|"Dachshund Dog"|1826|8.1|12.000|"count"|"Evidence"|"2002-01-15-12.00.39"|"Evidence"|"Lab Test"|4|"2002-02-01-12.00.45"|"Serum Creatinine"|"High"|"00000017000006.000000"
